"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs"
2003,"IND",12,4,0,1,"CON","99.54"
2003,"JAX",5,11,0,0,NA,"0.04"
2003,"KC",13,3,0,1,"DIV","99.93"
2003,"MIA",10,6,0,0,NA,"83.60"
2003,"MIN",9,7,0,0,NA,"43.96"
2003,"NE",14,2,0,1,"CHMP","99.99"
2003,"NO",8,8,0,0,NA,"10.77"
2003,"NYG",4,12,0,0,NA,"0.01"
2003,"NYJ",6,10,0,0,NA,"0.29"
2003,"OAK",4,12,0,0,NA,"0.01"
2003,"PHI",12,4,0,1,"CON","99.54"
2003,"PIT",6,10,0,0,NA,"0.29"
2003,"SD",4,12,0,0,NA,"0.01"
2003,"SEA",10,6,0,1,"WC","83.60"
2003,"SF",7,9,0,0,NA,"1.82"
2003,"STL",12,4,0,1,"DIV","99.54"
2003,"TB",7,9,0,0,NA,"1.82"
2003,"TEN",12,4,0,1,"DIV","99.54"
2003,"WAS",5,11,0,0,NA,"0.04"
2004,"ARI",6,10,0,0,NA,"0.29"
2004,"ATL",11,5,0,1,"CON","97.07"
2004,"BAL",9,7,0,0,NA,"43.96"
2004,"BUF",9,7,0,0,NA,"43.96"
2004,"CAR",7,9,0,0,NA,"1.82"
2004,"CHI",5,11,0,0,NA,"0.04"
2004,"CIN",8,8,0,0,NA,"10.77"
2004,"CLE",4,12,0,0,NA,"0.01"
2004,"DAL",6,10,0,0,NA,"0.29"
2004,"DEN",10,6,0,1,"WC","83.60"
2004,"DET",6,10,0,0,NA,"0.29"
2004,"GB",10,6,0,1,"WC","83.60"
2004,"HOU",7,9,0,0,NA,"1.82"
2004,"IND",12,4,0,1,"DIV","99.54"
2004,"JAX",9,7,0,0,NA,"43.96"
2004,"KC",7,9,0,0,NA,"1.82"
2004,"MIA",4,12,0,0,NA,"0.01"
2004,"MIN",8,8,0,1,"DIV","10.77"
2004,"NE",14,2,0,1,"CHMP","99.99"
2004,"NO",8,8,0,0,NA,"10.77"
2004,"NYG",6,10,0,0,NA,"0.29"
2004,"NYJ",10,6,0,1,"DIV","83.60"
2004,"OAK",5,11,0,0,NA,"0.04"
2004,"PHI",13,3,0,1,"SB","99.93"
2004,"PIT",15,1,0,1,"CON","100.00"
2004,"SD",12,4,0,1,"WC","99.54"
2004,"SEA",9,7,0,1,"WC","43.96"
2004,"SF",2,14,0,0,NA,"0.00"
2004,"STL",8,8,0,1,"DIV","10.77"
2004,"TB",5,11,0,0,NA,"0.04"
2004,"TEN",5,11,0,0,NA,"0.04"
2004,"WAS",6,10,0,0,NA,"0.29"
2005,"ARI",5,11,0,0,NA,"0.04"
2005,"ATL",8,8,0,0,NA,"10.77"
2005,"BAL",6,10,0,0,NA,"0.29"
2005,"BUF",5,11,0,0,NA,"0.04"
2005,"CAR",11,5,0,1,"CON","97.07"
2005,"CHI",11,5,0,1,"DIV","97.07"
2005,"CIN",11,5,0,1,"WC","97.07"
2005,"CLE",6,10,0,0,NA,"0.29"
2005,"DAL",9,7,0,0,NA,"43.96"
2005,"DEN",13,3,0,1,"CON","99.93"
2005,"DET",5,11,0,0,NA,"0.04"
2005,"GB",4,12,0,0,NA,"0.01"
2005,"HOU",2,14,0,0,NA,"0.00"
2005,"IND",14,2,0,1,"DIV","99.99"
2005,"JAX",12,4,0,1,"WC","99.54"
2005,"KC",10,6,0,0,NA,"83.60"
2005,"MIA",9,7,0,0,NA,"43.96"
2005,"MIN",9,7,0,0,NA,"43.96"
2005,"NE",10,6,0,1,"DIV","83.60"
2005,"NO",3,13,0,0,NA,"0.00"
2005,"NYG",11,5,0,1,"WC","97.07"
2005,"NYJ",4,12,0,0,NA,"0.01"
2005,"OAK",4,12,0,0,NA,"0.01"
2005,"PHI",6,10,0,0,NA,"0.29"
2005,"PIT",11,5,0,1,"CHMP","97.07"
2005,"SD",9,7,0,0,NA,"43.96"
2005,"SEA",13,3,0,1,"SB","99.93"
2005,"SF",4,12,0,0,NA,"0.01"
2005,"STL",6,10,0,0,NA,"0.29"
2005,"TB",11,5,0,1,"WC","97.07"
2005,"TEN",4,12,0,0,NA,"0.01"
2005,"WAS",10,6,0,1,"DIV","83.60"
2006,"ARI",5,11,0,0,NA,"0.04"
2006,"ATL",7,9,0,0,NA,"1.82"
2006,"BAL",13,3,0,1,"DIV","99.93"
2006,"BUF",7,9,0,0,NA,"1.82"
2006,"CAR",8,8,0,0,NA,"10.77"
2006,"CHI",13,3,0,1,"SB","99.93"
2006,"CIN",8,8,0,0,NA,"10.77"
2006,"CLE",4,12,0,0,NA,"0.01"
2006,"DAL",9,7,0,1,"WC","43.96"
2006,"DEN",9,7,0,0,NA,"43.96"
2006,"DET",3,13,0,0,NA,"0.00"
2006,"GB",8,8,0,0,NA,"10.77"
2006,"HOU",6,10,0,0,NA,"0.29"
2006,"IND",12,4,0,1,"CHMP","99.54"
2006,"JAX",8,8,0,0,NA,"10.77"
2006,"KC",9,7,0,1,"WC","43.96"
2006,"MIA",6,10,0,0,NA,"0.29"
2006,"MIN",6,10,0,0,NA,"0.29"
2006,"NE",12,4,0,1,"CON","99.54"
2006,"NO",10,6,0,1,"CON","83.60"
2006,"NYG",8,8,0,1,"WC","10.77"
2006,"NYJ",10,6,0,1,"WC","83.60"
2006,"OAK",2,14,0,0,NA,"0.00"
2006,"PHI",10,6,0,1,"DIV","83.60"
2006,"PIT",8,8,0,0,NA,"10.77"
2006,"SD",14,2,0,1,"DIV","99.99"
2006,"SEA",9,7,0,1,"DIV","43.96"
2006,"SF",7,9,0,0,NA,"1.82"
2006,"STL",8,8,0,0,NA,"10.77"
2006,"TB",4,12,0,0,NA,"0.01"
2006,"TEN",8,8,0,0,NA,"10.77"
2006,"WAS",5,11,0,0,NA,"0.04"
2007,"ARI",8,8,0,0,NA,"10.77"
2007,"ATL",4,12,0,0,NA,"0.01"
2007,"BAL",5,11,0,0,NA,"0.04"
2007,"BUF",7,9,0,0,NA,"1.82"
2007,"CAR",7,9,0,0,NA,"1.82"
2007,"CHI",7,9,0,0,NA,"1.82"
2007,"CIN",7,9,0,0,NA,"1.82"
2007,"CLE",10,6,0,0,NA,"83.60"
2007,"DAL",13,3,0,1,"DIV","99.93"
2007,"DEN",7,9,0,0,NA,"1.82"
2007,"DET",7,9,0,0,NA,"1.82"
2007,"GB",13,3,0,1,"CON","99.93"
2007,"HOU",8,8,0,0,NA,"10.77"
2007,"IND",13,3,0,1,"DIV","99.93"
2007,"JAX",11,5,0,1,"DIV","97.07"
2007,"KC",4,12,0,0,NA,"0.01"
2007,"MIA",1,15,0,0,NA,"0.00"
2007,"MIN",8,8,0,0,NA,"10.77"
2007,"NE",16,0,0,1,"SB","100.00"
2007,"NO",7,9,0,0,NA,"1.82"
2007,"NYG",10,6,0,1,"CHMP","83.60"
2007,"NYJ",4,12,0,0,NA,"0.01"
2007,"OAK",4,12,0,0,NA,"0.01"
2007,"PHI",8,8,0,0,NA,"10.77"
2007,"PIT",10,6,0,1,"WC","83.60"
2007,"SD",11,5,0,1,"CON","97.07"
2007,"SEA",10,6,0,1,"DIV","83.60"
2007,"SF",5,11,0,0,NA,"0.04"
2007,"STL",3,13,0,0,NA,"0.00"
2007,"TB",9,7,0,1,"WC","43.96"
2007,"TEN",10,6,0,1,"WC","83.60"
2007,"WAS",9,7,0,1,"WC","43.96"
2008,"ARI",9,7,0,1,"SB","43.96"
2008,"ATL",11,5,0,1,"WC","97.07"
2008,"BAL",11,5,0,1,"CON","97.07"
2008,"BUF",7,9,0,0,NA,"1.82"
2008,"CAR",12,4,0,1,"DIV","99.54"
2008,"CHI",9,7,0,0,NA,"43.96"
2008,"CIN",4,11,1,0,NA,"0.01"
2008,"CLE",4,12,0,0,NA,"0.01"
2008,"DAL",9,7,0,0,NA,"43.96"
2008,"DEN",8,8,0,0,NA,"10.77"
2008,"DET",0,16,0,0,NA,"0.00"
2008,"GB",6,10,0,0,NA,"0.29"
2008,"HOU",8,8,0,0,NA,"10.77"
2008,"IND",12,4,0,1,"WC","99.54"
2008,"JAX",5,11,0,0,NA,"0.04"
2008,"KC",2,14,0,0,NA,"0.00"
2008,"MIA",11,5,0,1,"WC","97.07"
2008,"MIN",10,6,0,1,"WC","83.60"
2008,"NE",11,5,0,0,NA,"97.07"
2008,"NO",8,8,0,0,NA,"10.77"
2008,"NYG",12,4,0,1,"DIV","99.54"
2008,"NYJ",9,7,0,0,NA,"43.96"
2008,"OAK",5,11,0,0,NA,"0.04"
2008,"PHI",9,6,1,1,"CON","43.96"
2008,"PIT",12,4,0,1,"CHMP","99.54"
2008,"SD",8,8,0,1,"DIV","10.77"
2008,"SEA",4,12,0,0,NA,"0.01"
2008,"SF",7,9,0,0,NA,"1.82"
2008,"STL",2,14,0,0,NA,"0.00"
2008,"TB",9,7,0,0,NA,"43.96"
2008,"TEN",13,3,0,1,"DIV","99.93"
2008,"WAS",8,8,0,0,NA,"10.77"
2009,"ARI",10,6,0,1,"DIV","83.60"
2009,"ATL",9,7,0,0,NA,"43.96"
2009,"BAL",9,7,0,1,"DIV","43.96"
2009,"BUF",6,10,0,0,NA,"0.29"
2009,"CAR",8,8,0,0,NA,"10.77"
2009,"CHI",7,9,0,0,NA,"1.82"
2009,"CIN",10,6,0,1,"WC","83.60"
2009,"CLE",5,11,0,0,NA,"0.04"
2009,"DAL",11,5,0,1,"DIV","97.07"
2009,"DEN",8,8,0,0,NA,"10.77"
2009,"DET",2,14,0,0,NA,"0.00"
2009,"GB",11,5,0,1,"WC","97.07"
2009,"HOU",9,7,0,0,NA,"43.96"
2009,"IND",14,2,0,1,"SB","99.99"
2009,"JAX",7,9,0,0,NA,"1.82"
2009,"KC",4,12,0,0,NA,"0.01"
2009,"MIA",7,9,0,0,NA,"1.82"
2009,"MIN",12,4,0,1,"CON","99.54"
2009,"NE",10,6,0,1,"WC","83.60"
2009,"NO",13,3,0,1,"CHMP","99.93"
2009,"NYG",8,8,0,0,NA,"10.77"
2009,"NYJ",9,7,0,1,"CON","43.96"
2009,"OAK",5,11,0,0,NA,"0.04"
2009,"PHI",11,5,0,1,"WC","97.07"
2009,"PIT",9,7,0,0,NA,"43.96"
2009,"SD",13,3,0,1,"DIV","99.93"
2009,"SEA",5,11,0,0,NA,"0.04"
2009,"SF",8,8,0,0,NA,"10.77"
2009,"STL",1,15,0,0,NA,"0.00"
2009,"TB",3,13,0,0,NA,"0.00"
2009,"TEN",8,8,0,0,NA,"10.77"
2009,"WAS",4,12,0,0,NA,"0.01"
2010,"ARI",5,11,0,0,NA,"0.04"
2010,"ATL",13,3,0,1,"DIV","99.93"
2010,"BAL",12,4,0,1,"DIV","99.54"
2010,"BUF",4,12,0,0,NA,"0.01"
2010,"CAR",2,14,0,0,NA,"0.00"
2010,"CHI",11,5,0,1,"CON","97.07"
2010,"CIN",4,12,0,0,NA,"0.01"
2010,"CLE",5,11,0,0,NA,"0.04"
2010,"DAL",6,10,0,0,NA,"0.29"
2010,"DEN",4,12,0,0,NA,"0.01"
2010,"DET",6,10,0,0,NA,"0.29"
2010,"GB",10,6,0,1,"CHMP","83.60"
2010,"HOU",6,10,0,0,NA,"0.29"
2010,"IND",10,6,0,1,"WC","83.60"
2010,"JAX",8,8,0,0,NA,"10.77"
2010,"KC",10,6,0,1,"WC","83.60"
2010,"MIA",7,9,0,0,NA,"1.82"
2010,"MIN",6,10,0,0,NA,"0.29"
2010,"NE",14,2,0,1,"DIV","99.99"
2010,"NO",11,5,0,1,"WC","97.07"
2010,"NYG",10,6,0,0,NA,"83.60"
2010,"NYJ",11,5,0,1,"CON","97.07"
2010,"OAK",8,8,0,0,NA,"10.77"
2010,"PHI",10,6,0,1,"WC","83.60"
2010,"PIT",12,4,0,1,"SB","99.54"
2010,"SD",9,7,0,0,NA,"43.96"
2010,"SEA",7,9,0,1,"DIV","1.82"
2010,"SF",6,10,0,0,NA,"0.29"
2010,"STL",7,9,0,0,NA,"1.82"
2010,"TB",10,6,0,0,NA,"83.60"
2010,"TEN",6,10,0,0,NA,"0.29"
2010,"WAS",6,10,0,0,NA,"0.29"
2011,"ARI",8,8,0,0,NA,"10.77"
2011,"ATL",10,6,0,1,"WC","83.60"
2011,"BAL",12,4,0,1,"CON","99.54"
2011,"BUF",6,10,0,0,NA,"0.29"
2011,"CAR",6,10,0,0,NA,"0.29"
2011,"CHI",8,8,0,0,NA,"10.77"
2011,"CIN",9,7,0,1,"WC","43.96"
2011,"CLE",4,12,0,0,NA,"0.01"
2011,"DAL",8,8,0,0,NA,"10.77"
2011,"DEN",8,8,0,1,"DIV","10.77"
2011,"DET",10,6,0,1,"WC","83.60"
2011,"GB",15,1,0,1,"DIV","100.00"
2011,"HOU",10,6,0,1,"DIV","83.60"
2011,"IND",2,14,0,0,NA,"0.00"
2011,"JAX",5,11,0,0,NA,"0.04"
2011,"KC",7,9,0,0,NA,"1.82"
2011,"MIA",6,10,0,0,NA,"0.29"
2011,"MIN",3,13,0,0,NA,"0.00"
2011,"NE",13,3,0,1,"SB","99.93"
2011,"NO",13,3,0,1,"DIV","99.93"
2011,"NYG",9,7,0,1,"CHMP","43.96"
2011,"NYJ",8,8,0,0,NA,"10.77"
2011,"OAK",8,8,0,0,NA,"10.77"
2011,"PHI",8,8,0,0,NA,"10.77"
2011,"PIT",12,4,0,1,"WC","99.54"
2011,"SD",8,8,0,0,NA,"10.77"
2011,"SEA",7,9,0,0,NA,"1.82"
2011,"SF",13,3,0,1,"CON","99.93"
2011,"STL",2,14,0,0,NA,"0.00"
2011,"TB",4,12,0,0,NA,"0.01"
2011,"TEN",9,7,0,0,NA,"43.96"
2011,"WAS",5,11,0,0,NA,"0.04"
2012,"ARI",5,11,0,0,NA,"0.04"
2012,"ATL",13,3,0,1,"CON","99.93"
2012,"BAL",10,6,0,1,"CHMP","83.60"
2012,"BUF",6,10,0,0,NA,"0.29"
2012,"CAR",7,9,0,0,NA,"1.82"
2012,"CHI",10,6,0,0,NA,"83.60"
2012,"CIN",10,6,0,1,"WC","83.60"
2012,"CLE",5,11,0,0,NA,"0.04"
2012,"DAL",8,8,0,0,NA,"10.77"
2012,"DEN",13,3,0,1,"DIV","99.93"
2012,"DET",4,12,0,0,NA,"0.01"
2012,"GB",11,5,0,1,"DIV","97.07"
2012,"HOU",12,4,0,1,"DIV","99.54"
2012,"IND",11,5,0,1,"WC","97.07"
2012,"JAX",2,14,0,0,NA,"0.00"
2012,"KC",2,14,0,0,NA,"0.00"
2012,"MIA",7,9,0,0,NA,"1.82"
2012,"MIN",10,6,0,1,"WC","83.60"
2012,"NE",12,4,0,1,"CON","99.54"
2012,"NO",7,9,0,0,NA,"1.82"
2012,"NYG",9,7,0,0,NA,"43.96"
2012,"NYJ",6,10,0,0,NA,"0.29"
2012,"OAK",4,12,0,0,NA,"0.01"
2012,"PHI",4,12,0,0,NA,"0.01"
2012,"PIT",8,8,0,0,NA,"10.77"
2012,"SD",7,9,0,0,NA,"1.82"
2012,"SEA",11,5,0,1,"DIV","97.07"
2012,"SF",11,4,1,1,"SB","97.07"
2012,"STL",7,8,1,0,NA,"1.82"
2012,"TB",7,9,0,0,NA,"1.82"
2012,"TEN",6,10,0,0,NA,"0.29"
2012,"WAS",10,6,0,1,"WC","83.60"
2013,"ARI",10,6,0,0,NA,"83.60"
2013,"ATL",4,12,0,0,NA,"0.01"
2013,"BAL",8,8,0,0,NA,"10.77"
2013,"BUF",6,10,0,0,NA,"0.29"
2013,"CAR",12,4,0,1,"DIV","99.54"
2013,"CHI",8,8,0,0,NA,"10.77"
2013,"CIN",11,5,0,1,"WC","97.07"
2013,"CLE",4,12,0,0,NA,"0.01"
2013,"DAL",8,8,0,0,NA,"10.77"
2013,"DEN",13,3,0,1,"SB","99.93"
2013,"DET",7,9,0,0,NA,"1.82"
2013,"GB",8,7,1,1,"WC","10.77"
2013,"HOU",2,14,0,0,NA,"0.00"
2013,"IND",11,5,0,1,"DIV","97.07"
2013,"JAX",4,12,0,0,NA,"0.01"
2013,"KC",11,5,0,1,"WC","97.07"
2013,"MIA",8,8,0,0,NA,"10.77"
2013,"MIN",5,10,1,0,NA,"0.04"
2013,"NE",12,4,0,1,"CON","99.54"
2013,"NO",11,5,0,1,"DIV","97.07"
2013,"NYG",7,9,0,0,NA,"1.82"
2013,"NYJ",8,8,0,0,NA,"10.77"
2013,"OAK",4,12,0,0,NA,"0.01"
2013,"PHI",10,6,0,1,"WC","83.60"
2013,"PIT",8,8,0,0,NA,"10.77"
2013,"SD",9,7,0,1,"DIV","43.96"
2013,"SEA",13,3,0,1,"CHMP","99.93"
2013,"SF",12,4,0,1,"CON","99.54"
2013,"STL",7,9,0,0,NA,"1.82"
2013,"TB",4,12,0,0,NA,"0.01"
2013,"TEN",7,9,0,0,NA,"1.82"
2013,"WAS",3,13,0,0,NA,"0.00"
2014,"ARI",11,5,0,1,"WC","97.07"
2014,"ATL",6,10,0,0,NA,"0.29"
2014,"BAL",10,6,0,1,"DIV","83.60"
2014,"BUF",9,7,0,0,NA,"43.96"
2014,"CAR",7,8,1,1,"DIV","1.82"
2014,"CHI",5,11,0,0,NA,"0.04"
2014,"CIN",10,5,1,1,"WC","83.60"
2014,"CLE",7,9,0,0,NA,"1.82"
2014,"DAL",12,4,0,1,"DIV","99.54"
2014,"DEN",12,4,0,1,"DIV","99.54"
2014,"DET",11,5,0,1,"WC","97.07"
2014,"GB",12,4,0,1,"CON","99.54"
2014,"HOU",9,7,0,0,NA,"43.96"
2014,"IND",11,5,0,1,"CON","97.07"
2014,"JAX",3,13,0,0,NA,"0.00"
2014,"KC",9,7,0,0,NA,"43.96"
2014,"MIA",8,8,0,0,NA,"10.77"
2014,"MIN",7,9,0,0,NA,"1.82"
2014,"NE",12,4,0,1,"CHMP","99.54"
2014,"NO",7,9,0,0,NA,"1.82"
2014,"NYG",6,10,0,0,NA,"0.29"
2014,"NYJ",4,12,0,0,NA,"0.01"
2014,"OAK",3,13,0,0,NA,"0.00"
2014,"PHI",10,6,0,0,NA,"83.60"
2014,"PIT",11,5,0,1,"WC","97.07"
2014,"SD",9,7,0,0,NA,"43.96"
2014,"SEA",12,4,0,1,"SB","99.54"
2014,"SF",8,8,0,0,NA,"10.77"
2014,"STL",6,10,0,0,NA,"0.29"
2014,"TB",2,14,0,0,NA,"0.00"
2014,"TEN",2,14,0,0,NA,"0.00"
2014,"WAS",4,12,0,0,NA,"0.01"
2015,"ARI",13,3,0,1,"CON","99.93"
2015,"ATL",8,8,0,0,NA,"10.77"
2015,"BAL",5,11,0,0,NA,"0.04"
2015,"BUF",8,8,0,0,NA,"10.77"
2015,"CAR",15,1,0,1,"SB","100.00"
2015,"CHI",6,10,0,0,NA,"0.29"
2015,"CIN",12,4,0,1,"WC","99.54"
2015,"CLE",3,13,0,0,NA,"0.00"
2015,"DAL",4,12,0,0,NA,"0.01"
2015,"DEN",12,4,0,1,"CHMP","99.54"
2015,"DET",7,9,0,0,NA,"1.82"
2015,"GB",10,6,0,1,"DIV","83.60"
2015,"HOU",9,7,0,1,"WC","43.96"
2015,"IND",8,8,0,0,NA,"10.77"
2015,"JAX",5,11,0,0,NA,"0.04"
2015,"KC",11,5,0,1,"DIV","97.07"
2015,"MIA",6,10,0,0,NA,"0.29"
2015,"MIN",11,5,0,1,"WC","97.07"
2015,"NE",12,4,0,1,"CON","99.54"
2015,"NO",7,9,0,0,NA,"1.82"
2015,"NYG",6,10,0,0,NA,"0.29"
2015,"NYJ",10,6,0,0,NA,"83.60"
2015,"OAK",7,9,0,0,NA,"1.82"
2015,"PHI",7,9,0,0,NA,"1.82"
2015,"PIT",10,6,0,1,"DIV","83.60"
2015,"SD",4,12,0,0,NA,"0.01"
2015,"SEA",10,6,0,1,"DIV","83.60"
2015,"SF",5,11,0,0,NA,"0.04"
2015,"STL",7,9,0,0,NA,"1.82"
2015,"TB",6,10,0,0,NA,"0.29"
2015,"TEN",3,13,0,0,NA,"0.00"
2015,"WAS",9,7,0,1,"WC","43.96"
2016,"ARI",7,8,1,0,NA,"1.82"
2016,"ATL",11,5,0,1,"SB","97.07"
2016,"BAL",8,8,0,0,NA,"10.77"
2016,"BUF",7,9,0,0,NA,"1.82"
2016,"CAR",6,10,0,0,NA,"0.29"
2016,"CHI",3,13,0,0,NA,"0.00"
2016,"CIN",6,9,1,0,NA,"0.29"
2016,"CLE",1,15,0,0,NA,"0.00"
2016,"DAL",13,3,0,1,"DIV","99.93"
2016,"DEN",9,7,0,0,NA,"43.96"
2016,"DET",9,7,0,1,"WC","43.96"
2016,"GB",10,6,0,1,"CON","83.60"
2016,"HOU",9,7,0,1,"DIV","43.96"
2016,"IND",8,8,0,0,NA,"10.77"
2016,"JAX",3,13,0,0,NA,"0.00"
2016,"KC",12,4,0,1,"DIV","99.54"
2016,"LA",4,12,0,0,NA,"0.01"
2016,"MIA",10,6,0,1,"WC","83.60"
2016,"MIN",8,8,0,0,NA,"10.77"
2016,"NE",14,2,0,1,"CHMP","99.99"
2016,"NO",7,9,0,0,NA,"1.82"
2016,"NYG",11,5,0,1,"WC","97.07"
2016,"NYJ",5,11,0,0,NA,"0.04"
2016,"OAK",12,4,0,1,"WC","99.54"
2016,"PHI",7,9,0,0,NA,"1.82"
2016,"PIT",11,5,0,1,"CON","97.07"
2016,"SD",5,11,0,0,NA,"0.04"
2016,"SEA",10,5,1,1,"DIV","83.60"
2016,"SF",2,14,0,0,NA,"0.00"
2016,"TB",9,7,0,0,NA,"43.96"
2016,"TEN",9,7,0,0,NA,"43.96"
2016,"WAS",8,7,1,0,NA,"10.77"
2017,"ARI",8,8,0,0,NA,"10.77"
2017,"ATL",10,6,0,1,"DIV","83.60"
2017,"BAL",9,7,0,0,NA,"43.96"
2017,"BUF",9,7,0,1,"WC","43.96"
2017,"CAR",11,5,0,1,"WC","97.07"
2017,"CHI",5,11,0,0,NA,"0.04"
2017,"CIN",7,9,0,0,NA,"1.82"
2017,"CLE",0,16,0,0,NA,"0.00"
2017,"DAL",9,7,0,0,NA,"43.96"
2017,"DEN",5,11,0,0,NA,"0.04"
2017,"DET",9,7,0,0,NA,"43.96"
2017,"GB",7,9,0,0,NA,"1.82"
2017,"HOU",4,12,0,0,NA,"0.01"
2017,"IND",4,12,0,0,NA,"0.01"
2017,"JAX",10,6,0,1,"CON","83.60"
2017,"KC",10,6,0,1,"WC","83.60"
2017,"LA",11,5,0,1,"WC","97.07"
2017,"LAC",9,7,0,0,NA,"43.96"
2017,"MIA",6,10,0,0,NA,"0.29"
2017,"MIN",13,3,0,1,"CON","99.93"
2017,"NE",13,3,0,1,"SB","99.93"
2017,"NO",11,5,0,1,"DIV","97.07"
2017,"NYG",3,13,0,0,NA,"0.00"
2017,"NYJ",5,11,0,0,NA,"0.04"
2017,"OAK",6,10,0,0,NA,"0.29"
2017,"PHI",13,3,0,1,"CHMP","99.93"
2017,"PIT",13,3,0,1,"DIV","99.93"
2017,"SEA",9,7,0,0,NA,"43.96"
2017,"SF",6,10,0,0,NA,"0.29"
2017,"TB",5,11,0,0,NA,"0.04"
2017,"TEN",9,7,0,1,"DIV","43.96"
2017,"WAS",7,9,0,0,NA,"1.82"
2018,"ARI",3,13,0,0,NA,"0.00"
2018,"ATL",7,9,0,0,NA,"1.82"
2018,"BAL",10,6,0,1,"WC","83.60"
2018,"BUF",6,10,0,0,NA,"0.29"
2018,"CAR",7,9,0,0,NA,"1.82"
2018,"CHI",12,4,0,1,"WC","99.54"
2018,"CIN",6,10,0,0,NA,"0.29"
2018,"CLE",7,8,1,0,NA,"1.82"
2018,"DAL",10,6,0,1,"DIV","83.60"
2018,"DEN",6,10,0,0,NA,"0.29"
2018,"DET",6,10,0,0,NA,"0.29"
2018,"GB",6,9,1,0,NA,"0.29"
2018,"HOU",11,5,0,1,"WC","97.07"
2018,"IND",10,6,0,1,"DIV","83.60"
2018,"JAX",5,11,0,0,NA,"0.04"
2018,"KC",12,4,0,1,"CON","99.54"
2018,"LA",13,4,0,1,"SB","99.93"
2018,"LAC",12,4,0,1,"DIV","99.54"
2018,"MIA",7,9,0,0,NA,"1.82"
2018,"MIN",8,7,1,0,NA,"10.77"
2018,"NE",11,5,0,1,"CHMP","97.07"
2018,"NO",13,3,0,1,"CON","99.93"
2018,"NYG",5,11,0,0,NA,"0.04"
2018,"NYJ",4,12,0,0,NA,"0.01"
2018,"OAK",4,12,0,0,NA,"0.01"
2018,"PHI",9,7,0,1,"DIV","43.96"
2018,"PIT",9,6,1,0,NA,"43.96"
2018,"SEA",10,6,0,1,"WC","83.60"
2018,"SF",4,12,0,0,NA,"0.01"
2018,"TB",5,11,0,0,NA,"0.04"
2018,"TEN",9,7,0,0,NA,"43.96"
2018,"WAS",7,9,0,0,NA,"1.82"
2019,"ARI",5,10,1,0,NA,"0.04"
2019,"ATL",7,9,0,0,NA,"1.82"
2019,"BAL",14,2,0,1,"DIV","99.99"
2019,"BUF",10,6,0,1,"WC","83.60"
2019,"CAR",5,11,0,0,NA,"0.04"
2019,"CHI",8,8,0,0,NA,"10.77"
2019,"CIN",2,14,0,0,NA,"0.00"
2019,"CLE",6,10,0,0,NA,"0.29"
2019,"DAL",8,8,0,0,NA,"10.77"
2019,"DEN",7,9,0,0,NA,"1.82"
2019,"DET",3,12,1,0,NA,"0.00"
2019,"GB",13,3,0,1,"CON","99.93"
2019,"HOU",10,6,0,1,"DIV","83.60"
2019,"IND",7,9,0,0,NA,"1.82"
2019,"JAX",6,10,0,0,NA,"0.29"
